Accession	AccessionNoIsoform	Gene	Description	NeuroMarker	LysosomalMarkers	HD1_IN	HD4_IN	HD5_IN	HD6_IN	HDKP_IN	HDRH_IN	HDSD_IN	HD1_FB	HD4_FB	HD5_FB	HD6_FB	HDKP_FB	HDRH_FB	HDSD_FB	C11_IN	C12_IN	CBS_IN	CGE_IN	CKK_IN	CKP_IN	TS_IN	C11_FB	C12_FB	CBS_FB	CGE_FB	CKK_FB	CKP_FB	TS_FB
P08670	P08670	VIM	Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4			32.01060486	31.90132141	31.39305496	30.73335838	31.7402401	31.188591	31.74104691	33.13364792	33.12107086	32.77024841	32.70513916	33.06173706	32.82137299	33.04245758	31.5097332	32.1521759	31.849823	32.49238205	31.5056572	32.19431686	31.00880432	32.96300507	33.23355484	33.04163361	33.14760208	33.01833344	33.17549896	32.97593307
P63261	P63261	ACTG1	"Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1"			31.55366707	31.05433655	31.61460304	31.44721794	31.38762474	31.43705368	31.47259521	32.10373688	32.20620346	32.29105759	32.10250092	32.25019455	32.29976273	32.16748428	31.49188042	31.54395485	31.65974426	31.92700195	31.40235138	31.67121506	31.39509392	32.11976624	32.58857727	32.2153244	32.53286743	32.29052734	32.40868378	32.14676666
P04406	P04406	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3			30.03476334	30.08119965	29.81550217	29.72183228	30.05719948	29.56652451	30.13935089	29.51567078	29.79651451	29.77274895	29.59526062	29.70266342	29.58742332	29.8054142	29.80644608	30.32805634	30.11880112	29.82893372	29.80060577	30.26646805	29.55403137	29.18033028	29.67822838	29.42242813	29.84249115	29.64029312	29.71386528	29.82368469
P12111	P12111	COL6A3	Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5			29.24206352	30.2989502	29.19770813	29.61530113	29.93730354	28.88455582	29.87479401	27.66003609	27.89524078	27.90384102	27.29640579	27.90799332	27.56790543	27.38511276	29.55527687	31.84746552	29.37544441	29.14583397	29.60321045	29.38997841	28.41141701	27.08132744	27.78413773	27.06344986	27.39946747	27.47734833	27.15690231	27.26693726
P02545	P02545	LMNA	Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1			29.81724167	30.08374405	30.08036232	29.7009697	29.80238152	29.90237045	29.81148529	29.60096741	29.57510948	29.63227463	29.44101524	29.50578308	29.84389114	29.87097359	29.60743523	29.76764107	29.76857185	29.64750481	29.67894745	30.04401398	29.67324066	29.5687561	29.79566383	29.52513123	29.89601326	29.78839111	29.90159798	29.50948715
P62805	P62805	HIST1H4A	Histone H4 OS=Homo sapiens OX=9606 GN=HIST1H4A PE=1 SV=2			29.79577255	29.8112011	30.28556824	29.99419785	29.79711342	30.05180359	29.86588669	29.08932495	29.22652626	29.37859344	29.38153648	29.19775772	29.10892868	28.7297554	29.6458683	29.31703186	29.62600708	29.060606	29.70375061	29.68010139	29.8634758	29.08709908	29.014534	28.91773605	29.01913452	28.87361336	29.01730347	29.02810287
P14625	P14625	HSP90B1	Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1			29.89551353	30.4372406	29.46528435	29.72693825	29.78354073	29.44023132	29.61903763	28.58850098	28.40463257	28.63064957	28.31610489	28.43389511	28.39046288	28.44661713	29.65856743	29.79561234	29.88292313	29.61343002	29.83540726	29.63061523	29.34288216	28.52069283	28.40473938	28.45857239	28.45055389	28.56123543	28.70126915	28.22666168
P11021	P11021	HSPA5	Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2			29.47315025	30.00502777	29.3336277	29.64169312	29.62249947	29.31314468	29.46370316	28.80472946	28.68814468	28.86771202	28.73342896	28.76792908	28.51006699	28.68312073	29.51746178	29.48025322	29.55287933	29.47997475	29.74413681	29.55638885	29.25079536	28.99317551	28.57972717	28.94432259	28.66978455	28.71898651	28.84218979	28.74022484
Q9BQE3	Q9BQE3	TUBA1C	Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1			29.43108177	29.5719223	29.41864777	29.6169529	29.57055092	29.35899544	29.43253326	29.92231369	29.88030815	29.94899559	29.86408234	29.87717056	29.76506805	29.81012726	29.56339073	29.66053963	29.56229782	29.88084412	29.69161987	29.73041534	29.48859978	29.667099	29.6966362	29.78551102	29.89381981	29.82459068	29.66057587	29.81583405
P68104	P68104	EEF1A1	Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1			29.46054459	29.44193268	29.14852905	29.39871216	29.42786217	29.22683907	29.53225708	30.0918045	30.10056305	30.17518234	30.17019272	30.11844254	29.98446655	30.04056358	29.47006989	29.81923866	29.52527237	29.78837585	29.55231476	29.51218987	28.9618721	29.80194473	30.01425743	29.96875	30.11814499	29.92557907	29.97121239	30.09480667
Q5QNW6-2	Q5QNW6	HIST2H2BF	Isoform 2 of Histone H2B type 2-F OS=Homo sapiens OX=9606 GN=HIST2H2BF			29.13038254	29.22737503	29.74725342	29.52463531	29.2813549	29.42598343	29.27725601	28.60232353	28.7441082	28.86130333	28.83769608	28.61450958	28.60294151	28.27088547	29.08484268	28.78330421	29.01771355	28.63325691	29.20733452	29.17637634	29.35351563	28.46829605	28.4084549	28.43029022	28.43502045	28.45130539	28.34475708	28.51553154
P68371	P68371	TUBB4B	Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1			29.10725403	29.14258194	29.02075958	29.25055122	29.22114944	28.94042206	29.18792343	29.42651749	29.47933578	29.48734283	29.39284134	29.42368698	29.31903458	29.42270088	29.19592667	29.41112328	29.22018433	29.34019852	29.26912308	29.40408325	28.91077423	28.94182396	29.22297668	29.38165283	29.43872833	29.31904793	29.20312881	29.3366394
Q6FI13	Q6FI13	HIST2H2AA3	Histone H2A type 2-A OS=Homo sapiens OX=9606 GN=HIST2H2AA3 PE=1 SV=3			28.78060341	28.97888565	29.56376076	29.30930328	29.12886429	29.29320908	29.03128242	28.43169785	28.55025673	28.62023926	28.68062401	28.43297195	28.54538918	28.02976418	28.95638466	28.61227417	28.89175987	28.51870537	29.01706314	28.93220901	29.35703468	28.37019348	28.17772675	28.29783249	28.14207458	28.26997375	28.10263824	28.30649567
